Produkt; Etage 1 ; Keller
An Mian Wan (Sleep Form), Shao Wu;Box D;Room A_ Box B, 
___ ;;
An Shen Bu Xin Wan (Peace Form)_Shao Wu, _____;Box D;Room B_ A 2
An Shen Bu Xin Wan (Peace Form) Green Nature, _____    ;Box D;Room A_ J 1
An Shen Ding Zhi Wan (Mind Form) , Green Nature, _____;Box D;Room A _I 2
Ba Zhen Wan (Angel Eight Form), Shao Wu, ___       ;Box B;Room B_C 3
Ba Zhen Wan (Angel Eight Form), Green Nature, ___;;Room A_G 4
Ba Zheng San Wan (Octo Form), Pill, Herbhelp, ____;;Room A_E 1
Ba Zheng Pian (Octo Form) Tab;;Room A_K 1
___;;
Bai He Gu Jin Wan, Herbhelp,_____;;Room A_H 1
Bai Hu Tang Wan  (White Tiger Form) Herbhelp, ____;;Room A_H 1
Bai Zi Yang Xin Wan (Biota Seed Form) Herbhelp, _____;;Room A_E 1
Ban Lan Gen Chong Ji (Isatis Granules), Green Nature, _____;;Room A_G 4
Ban Lan Gen (Isatis) Granules, Sugarless, Tai Yi, _________;;Room B_E 1
Ban Tu Wan (Form);;Room A_F 1
___;;
Ban Xia Bai Zhu Tang Wan, Herbhelp, ______;;Room A_E 1
Ban Xia Hou Pu Tang Wan (Pinellia & Magnolia Form), Herbhelp, ______;;Room A_E 1
Ban Xia Xie Xin Tang Wan (Gastro Peace Form), ______;;Room A_E 2
Bao He Wan (Mild Form), Shao Wu, ;Box B;Room A_Box C
___;;
Bao He Wan (Mild Form), Green Nature;Box D;Room A_J 1
___      Most;;
Bi Shu Tong Nasopen, Greem Nature;Box G;Room A_I 3
___;;
Bi Yan Wan (Freenose Form), Pill, Shao Wu;Box B;Room A_Box A
___;;
Bi Yan Pian (Freenose Form), Tab, Green Nature;;Room A_K 1
___;;
Blue Skin Multi-Purpose Dermocream, Herbhelp, ___;;Room A_E 1 Skin Box
Bu Pi Yi Chang Wan, Herbhelp, _____;;Room A_E 2
Bu Yang Huan Wu Tang Wan (Ceres Form), Tai Yi, ______;;Room B_Light Wall, Box 1
Bu Zhong Yi Qi Wan (Middle Form), Pill,_____ ;Box C;Room B_E 2
Bu Zhong Yi Qi Pian (Middle Form) Tab;;Room A_K 1
_____;;
Cang Er Zi Wan (All Clear Form), Herbhelp, ____;;Room A_H 1
Chai Hu Jia Long Gu Mu Li Tang Wan ( Bupleurum Calming Form), Herbhelp          _________;;Room A_E 2
Chai Hu Shu Gan Wan (Auranti Form), Shao Wu, _____;Box A;Room B_C 1
Chai Hu Shu Gan Wan (Auranti Form), Green Nature, _____;Box A;Room A_F 2
Chinese Tiger Patch (Yuan Hong Wai Shang Shi Zhen Tong Tie), Tai Yi, ________;;Room B_B 2 Plastic Box
Chuan Bei Pi Pa Pian (Clear Throat Form), Tai Yi, _______;;Room B_Light Wall, Box 1
Chuan Bei Zhi Ke Lu, Green Nature, _____;;Room B_A 4
Chuan Xin Lian Wan (Andrographis Form), Shao Wu, ____;Box B;Room A_Box B 
Chuan Xiong Cha Tiao Wan (Wallichi Form) , Shao Wu, _____;Box B;Room A_Box B
Cong Rong Bu Shen Wan (Cistanche Form), Herbhelp, _____;;Room A_E 2
Da Chai Hu Tang Wan (Major Bupleurum Form) Herbhelp, _____;;Room A_H 1
Da Cheng Qi Tang Wan Herbhelp, ;;Room A_H 1
_____;;
Dan Qi Jiang Zhi Pian (Lipasavia Form) , Tab, Green Nature, _____;;Room A _K 1
Dang Gui Chinese Angelica Root Angelikawurzel;;Room B_I 1
__ NBH ;;
Dang Gui Wan (Angelica Form), Green Nature, ___;;Room A _ G 2
Dang Gui Bu Xue Tang Wan (Angelsine) ;;Room B_F1 Box 11
______     ;;
Dang Gui Si Ni Wan (Angelica Form), Tai Yi, _____;;Room B_Light Wall, Box 1
Dang Shen (Codonopsis Radix), Raw Herb, Shao Wu, __   ;;Room B_E 1
Dang Shen, Codonopsis Root,  Codonopsiswurzel ;;Room B_H 3
__ NBH;;
Ding Chuan Wan (Mulberry Form), Green Nature, ___;Box D;Room A_G 1
Du Huo Ji Sheng Wan (Mori Form)_Shao Wu, _____;Box B;Room B_C 1
Du Huo Ji Sheng Wan (Mori Form), Green Nature, _____;Box D;Room A _I 2
Er Chen Wan (Duo Damp Form), Shao Wu Pai, ___;Box B;Room A _Box B
Er Chen Wan (Duo Damp Form), Green Nature, ___;;Room A_J 2
Er Long Zuo Ci Wan (Ear Form), Green Nature, _____;Box D;Room A_F 3
Er Ming Er Long Wan (Ear Form), Tai Yi;;Room B_Light Wall, Box 2
_____;;
Er Xian Tang Wan (Two Immortals Form), Herbhelp, ____;;Room A_E 3
Fang Feng Tong Sheng Wan (Unblock Form), Shao Wu, _____;Box D;Room B_D 1 left
Fei Yan Health Tea (Slimming Tea), Herbhelp, _____;;Room A_ H 5 Plastic Box
Feng Shi Bi Tong Jiao Nang, Herbhelp,;;Room A_ H 1
______;;
Fu De Kang Ruan Gao (Dermacura Cream) , Green Nature, _____;;Room A_E 1 Skin Box
Fu Fang Chang Ning Pian, Tai Yi, _____;;Room B_Room B_Light Wall, Box 2
Fu Fang Dan Shen Wan (Miltio Form), Shao Wu;Box B;Room A _Box A
________;;
Fu Fang Dan Shen Di Wan (Miltio Form, Tai Yi________;;Room B_Light Wall, Box 2
Fu Fang Huang Lian Su Pian (Copitidis Form) ______;;Room B_F 1 Box 11
Fu Fang Nan Ban Lan Gen Tablet (Compound Isatis Root Tablet), Herbhelp, ;;Room A_H 1
________;;
Fu Fang Qing Dai Wan (Psoriasis Form);;Room B_Light Wall, Box 3
_____;;
Fu Ke Tiao Jing Wan (Periodical Form);Box D;Room A_Box B
_____;;
Fu Ke Yang Rong Wan (Construct Form), Green Nature, _____;;Room A_J 2
Fu Yang Ke Li (Prurease Form), Green Nature, ____;;Room A_K 4
Fu Zheng Xiao Zheng Wan (Immunis Form), Tai Yi, _____;;Room B_Light Wall, Box 3
Gan Jiang Ling Zhu Tang Wan, Herbhelp, ______;;Room A_H 1
Gan Mai Da Zao Tang Wan, Herbhelp, ;;Room A_H 1
______;;
Gan Mao Qing Re Ke Li (Koldalivio Form), Green Nature, ______;;Room A_F 4 Big Plastic Box
Gan Mao Qing Re Ke Li (Koldalivio Form), Herbhelp, _____;;Room A_F 4 Small Plastic Box
Gan Mao Qing Re Capsule (Sugarless);;Room B_Light Wall, Box 3
(Ice Free Form), Tai Yi, ______;;
Ge Gen Qin Lian Tang Wan, Herbhelp, ______;;Room A_H 1 
Ge Gen Tang Wan Herbhelp, ____;;Room A_H Top
Geng Nian An Wan (Menorest Form), Pill, Shao Wu, ____;Box B;Room B_C 2
Geng Nian An Pian (Menoless Form), Tab, Green Nature, ____ ;;Room A_K 1
Golden Throat Candy (Jing Sang Zi Hou Bao), Green Nature, _____;;Room A_I 3
Gou Qi Zi (Lycii Fructus), Goji Berry Granules, Herbhelp, (__)___;;Room A_Box D (changed)
Gou Qi, Goji Berries, Goji Beeren;;Room B_H 1
__  NBH;;
Gou Teng Wan, Herhelp, ;;Room A_H 3
___;;
Gui Ling Ji (Long Life Form), Tai Yi, ;;Room B_Light Wall, Box 3
___;;
Guilin Watermelon Frost�;;Room A_Box D
_____;;
Gui Pi Wan (Lilly Form), Pill, Green Nature, ___;Box C;Room B_E 2
Gui Pi Pian (Lilly Form), Tab, Green Nature, ___;;Room A_K 1
Gui Yuan, Dried Longan Longanfrucht;;Room B_H 3
___ NBH;;
Gui Zhi Fu Ling Wan (Cinnamon Poria Form), Pill Shao Wu, _____;Box A;Room B_B4 Single Plastic Box 
Gui Zhi Fu Ling Wan (Uter Form), Green Nature, Pill, _____;Box A;Room A_G 2
Gui Zhi Fu Ling Pian (Uter Form), Green Nature, Tab  ;;Room A_K 2
_____;;
Gui Zhi Long Gu Mu Li Wan, Herbhelp,;;Room A_H 1
_________;;
Gui Zhi Tang Wan (Cinnamon Form), Shao Wu, ____;;Room B_A 3
Hong Zao (Hui Zao), Jujube, Rote Datteln ;;Room B_I 4
__ NBH;;
Hua Fen Qing Wan (Pollen Form), Pill, Tai Yi, ____;;Room B_Light Wall, Box 4
Hua Fen Qing Pian (Pollen Form), Tab, Green Nature    ;;Room A_K 1
____;;
Hua Tuo Gao [Itchy Skin and Fungal Infections], Tai Yi, ___10g;;Room B_ B 2 Plastic Box
Huanglian Eczema Cream, Tai Yi;;Room A, E 1 Skin Box
_____;;
Hua Zhi Ling Pian (Piles Dissolve Form), Tab, Green Nature, ____;;Room A_K 1
Huang Lian E Jiao Tang Wan, Herbhelp,;;Room A_H 2
______ ebay: Huang Lian E Jiao Tang Wan;;
Huang Lian Shang Qing Wan (Coptis Form), Shao Wu, ;Box B;Room A_Box C 
_____;;
Huang Qi (Radix Astragali), Raw Herb, Shao Wu, __;;Room B_E 1
;;Out of Stock
Huang Qi, Astragalus Root, Astragaluswurzel ;;Room B_H 2
__ NBH;;
Huang Qi Gui Zhi Wu Wu Tang Wan, Herbhelp, ________;;Room A_H 1
Huang Qi Sheng Mai Yin (Astragalus Rhythmic);;Room A_J 4
_____;;
Huangqin Acne Cream, Tai Yi, ;;Room A, E 1 Skin Box
_____;;
Huo Xiang Su Ling Shuang Hua Yin, Tai Yi, _______;;Room B_E 1
Huo Xiang Zheng Qi Wan (Astachi Form), Green Nature _____;;Room A_J 3
Huo Xiang Zheng Qi Wan (Astachi Form), Shao Wu, _____;Box B;Room B_D1 left
Ji Sheng Shen Qi Pian (Life Preserving Form), Tab, Green Nature, _____;;Room A_K 2
Jia Wei Li Zhong Wan (Midrif Form), Herbhelp, _________;;Room A_H 2
Jia Wei Xiao Yao Wan (Ease Plus Form), Pill, Green Nature _____  ;Box A;Room B _ F 1
Jia Wei Xiao Yao Wan (Ease Plus Form), Pill, Shao Wu Pai _____;Box B;Room A_Box D
Jia Wei Xiao Yao Wan (Ease Plus Form), Pill, Herbhelp, _____;;Room A_ E 3
Jia Wei Xiao Yao Pian (Ease Plus Form), Tab, Green Nature _____;;Room A_K 2
Jia Wei Zuo Jin Wan (Digestion Form), Pill, Herhelp;;Room A_H 2
_____;;
Jia Wei Zuo Jin Pian (Digestion Form), Tab;;Room A_K 2
Green Nature;;
_____;;
Jian Bu Wan (Healthy Step Form), Green Nature  ___;;Room A_J 2
Jian Bu Wan (Healthy Step Form), Shao Wu;;Room A_Box A
___;;
Jian Bu Hu Qian Wan (Healthy Step Form), Tai Yi_____(ebay name Jian Bu H. Q. Wan;;Room B_ Box 4
Jian Fei Jiang Zhi Ling Jiao Nang (Slim Form), Tai Yi, ;;Room B_Light Wall, Box 4
_______;;
Jian Pi Wan (Spleen Form), Shao Wu;Box B;Room B_C 2
___ ;;
Jian Pi Wan (Coldon Form), Green Nature;;Room A_J 3
___;;
Jian Wei Xiao Shi Pian (Appetite Form), Green Nature  ;;Room A_K 2
_____;;
Jiang Ya Wan (Lower Blood Pressure), Herbhelp, ___;;Room A_E 3
Jie Geng Wan (Platyco Form), Shao Wu ;;Room A_Box A
___;;
Jie Yu An Shen Wan (Relax Form), Tai Yi;;Room B_Light Wall, Box 4
_____;;
Jin Gu Die Shang Wan (Jingle Form), Green Nature _____ ;;Room A_F 3
Jin Kui Shen Qi Wan (Sexton Form), Shao Wu_____;Box F;Room A_Box B, Single Box
;;
Jin Kui Shen Qi Wan (Sexton Form), Green Nature, _____ ;Box F;Room B_ E 1
Jin Suo Gu Jing Wan (Euryales Form), Shao Wu, _____;Box B;Room A_Box A + Box B
Jin Suo Gu Jing Wan (Golden Lock Form), Green Nature, _____;;Room A_J 2
Jin Yin Hua (Flos Lonicerae Japonicae), Raw Herb, Shao Wu, ___;;Room B_E 1
Jin Yin Hua, Honeysuckle, Gei�blattbl�ten;;Room B_H 2
___ NBH;;
Jing Fang Bai Du Wan (Detoxify Form), Tai Yi, _____;;Room B_Light Wall, Box 4
Jing Tong Pian (Neck Form), Tab, Tai Yi, ___;;Room B_G2, Box 5
Juan Bi Wan (Arthro Form), Tai Yi, ___;;Room B_G2, Box 5
Jue Ming Zi, Cassia Seeds_Cassiasamen ___;;Room B_I 2
Kang Gu Zeng Sheng Pian (Throsis Form), Green Nature, _____;;Room A_K 3
;;
Kang Min Qing Huo Ya Gao (Gumclear Toothpaste);;Room A_ H 4      small plastic box
______;;
Lianhua Qingwen Capsules (Lian Hua Qing Wen), Herbhelp, ____   ebay: L. H. Qingwen Capsules;;Room A_H 2
Lian Qiao Bai Du Wan (Forsythia Form), Herbhelp, _____;;Room A_H 2
Ling Gui Zhu Gan Tang Wan (Poria Cinnamon Form) ______;;Room B_Box 2
Ling Zhi Jiao Nang (Ganoderma Capsules), Tai Yi, ____;;Room B_G2, Box 5
Liu Wei Di Huang Wan (Six Form), Pill, Green Nature, _____  Pills Amazon deleted;Box A;Room B_E 1
Liu Wei Di Huang Pian (Six Form), Tab, Green Nature, _____;;Room A_K 2
Liu Wei Di Huang Ke Li (Six Form), Granule, Green Nature, ______;;Room A_F 4 Big Plastic Box
Liu Wei Di Huang Wan (Six Form), Pill, Shao Wu Pai, _____,___ ;Box C;Room B_A 4
Long Dan Xie Gan Wan (Gentiana Form), Shao Wu, _____ (ebay name L. D. Xie Gan Wan � SW);Box D;Room B_D 2
Long Dan Xie Gan Wan (Gentiana Form), Tai Yi, _____  (ebay name L. D. Xie Gan Wan � TY);;Room B_G 2 Box 5
Luo Han Guo (Lo Han Guo), Monk Fruit M�nchsfrucht ___ NBH;;Room B_I 2
Mai Guan Kang Fu Pian (Angitease Form) _____;;Room B_F 1 Box 11
Mai Men Dong (Ophiopogonis Radix), Raw Herb, Shao Wu, ___;;Room B_E 1
Mai Men Dong Tang Wan (Ophiopogonis Form) Herbhelp _____ ;;Room A_H 3
Mai Wei Di Huang Wan (Pogonis Form), Shao Wu, _____;Box B;Room B_D 1
Mei Gui Hua, Dried Roses Rosenknospen;;Room B_H 1
____ NBH;;
Ming Mu Di Huang Wan (Bright Form), Shao Wu__________;Box B;Room B_C1
Ming Mu Di Huang Wan (Bright Form), Green Nature, __________;Box D;Room A_F 1
Niu Huang Jie Du Wan (Yellow Form), Tai Yi, _____;;Room B_G 2 Box 5
Nuan Gong Yun Zi Wan (Palace Form), Green Nature, _____;;Room A_F 2
Pi Fu Bing Xue Du Wan (Skin Care Form), Herbhelp, ;;Room A_H 2
______;;
Pi Min Xiao Wan (Skin Form) ____      ;;Room B_F 1 Box 11
Pian Tou Tong Wan (Migraine Form), Herbhelp, ____;;Room A_H 2
;;
Ping Wei San Wan (Stomach Dampclear Form), Herbhelp, ____;;Room A_H Top
Qi Ju Di Huang Wan (Lycii Form) Green Nature, _____, ____;Box D;Room A_F 1
Qi Ju Di Huang Wan (Lycii Form), Shao Wu, _____, __;Box B;Room B_A 3 right
Qian Lie Pian (Prosta Form), Tab, Green Nature ___;;Room A_K 3
Qian Lie Xian Wan (Brassica Camp Form), Pill, Shao Wu, ____;Box C;Room B_A 2 left
Qiang Huo Sheng Shi Tang Wan;;Room B_G 2 Box 5
 (Notopterygium Form), Tai Yi, _____;;
Qing Fei Pai Du Pian (Pulmo-Detox Form), Tai Yi, _____;;Room B_G 3 Box 8
